---||Bengaluru||Family makes Ganesha idols; has kept tradition on for 92 years||Come Ganesh Chaturthi and the Rao family of Mannagudda, is one of the busiest households in Mangaluru city. The Raos are popular for their aesthetic home-made Ganesha idols, which grace some of the biggest homes and pandals in the city. "My father Mohan Rao started making these idols over nine decades ago; this is our 92nd year," smiles Ramachandra Rao, 72, who is joined in this noble task by his brothers. "We learnt idol making from my father and he taught us the most delicate nuances of carving Ganesha idols. Even though we all pursued regular professions, this is something we will never let go of. My brothers and I are joined by our entire family during the festive season to make these idols. Our sons, daughters-in-law, grandkids and cousins, everyone comes home to lend a hand," Ramachandra tells us. This year, the family has made the highest number of idols thus far -- 230. In keeping with the pandemic, the family has requested all their patrons to collect the idols much before the festival to avoid rush hour and ensure social distancing. And if the idols are in such high demand even after all these decades, it's because the Raos do not compromise or cut corners when it comes to their idols. The clay for the idols comes from a field in Ganjimutt, on the outskirts of the city. The straw comes from a friend's farm. "During my father's time, we'd procure it from the paddy fields around Mangaluru but with these lands slowly disappearing, we had to fetch it from Ganjimutt," shares Ramachandra. Ask him about the debate around making eco-friendly Ganeshas and he quips, "We have always been making our idols out of clay which is the most eco-friendly material you can find. And unlike cities like Mumbai, we never use plaster of Paris and distemper. It's always eco-friendly paint sans lead, which will not harm the water body where you immerse the idol," states Ramachandra. On a parting shot, we ask him his opinion on innovative Ganeshas -- of him playing cricket, wearing a cap amongst others. "In South Kanara, we respect our Gods and traditions. These are sentiments that can't be played around with. Ganesha always sits and that is how we will always depict him. This is not a profession for us, but a sacred task," sums up Ramachandra.||http://timesofindia.indiatimes.com//city/bengaluru/family-makes-ganesha-idols-has-kept-tradition-on-for-92-years/articleshow/86062137.cms||Madhu Daithota
---||Chennai||Kodanad: Police go to Nepal to trace witness||UDHAGAMANDALAM: The Supreme Court-permitted further police probe into the murder-burglary at Kodanad estate moved to top gear with three defining events reported on Thursday. One: A special team left for Nepal to trace and bring Krishna Bahadhur Thapa, the only eyewitness to the trespass, murder and heist in the intervening night of April 23 and 24, 2017. Two: Having virtually reopened probe against all the 10 accused persons, police summoned eight of them to present themselves before the team on Thursday. Three: Probe team now plans to recall some of the witnesses who were ‘dispensed with’ by the earlier team. While Krishna Bahadhur Thapa’s co-security person Om Bahadhur Thapa was killed by the intruders, Krishna Bahadhur escaped with injuries. After his examination, he left for Nepal and his whereabouts are not known at present. During trial in 2019, the court directed the prosecution to produce Thapa for further examination, but police could not produce him in court. Of the 10 accused people, while primary suspect K V Sayan has been examined, Walayar Manoj is lodged in Central Prison, Coimbatore. The remaining eight are out on bail and residing in Kerala. Two of them — Samseer Ali (Accused-4) and Jithin Joy (Accused-10) — were asked, through WhatsApp message-summonses, to appear before police on Thursday. However, their counsel informed police about their difficulty in reaching Ooty the same day from Thrissur in Kerala. Sources told TOI that fresh summonses would be sent to all the accused and their inquiry will begin from Monday.Though originally 103 witnesses had been named, the then police team dispensed with 62 of them, retaining only 41 for the trial. Among the ‘dispensed with’ witnesses was Natarajan, manager of Kodanadu estate. He had been summoned and examined by the special investigation team headed by additional superintendent of police Krishnamurthy a few days ago. Another witness, Shaji (PW- 23) was summoned and questioned. Now, besides recalling some of them, police plan to inquire ‘important persons’ apparently connected with the case but not listed as witnesses earlier. A few more arrests in coming days cannot be ruled out, said sources. Meanwhile, inspector-general of police (west zone) R Sudhakar and deputy inspector-general M S Muthusamy are mostly camping in Ooty monitoring the inquiry and tracking developments in the investigation.||http://timesofindia.indiatimes.com//city/chennai/kodanad-police-go-to-nepal-to-trace-witness/articleshow/86080604.cms||Shantha Thiagarajan
---||Chandigarh||UT appoints 3 non-official members of CHB||Chandigarh: The UT administration on Thursday appointed three non-official members of Chandigarh Housing Board (CHB). The list includes names of former mayor Poonam Sharma, who is currently member of national body of BJP’s Mahila Morcha; former nominated councillor Surinder Bahga, who is currently vice-president in Chandigarh BJP; and Hitesh Puri, chairman of Chandigarh Residents' Associations Welfare Federation (Crawfed). The inclusion of two BJP office bearers in CHB’s board of directors is seen as moved aimed towards upcoming Chandigarh municipal corporation elections scheduled to be held in December. Meanwhile, sources in BJP said there is resentment in some workers. A BJP worker requesting anonymity said Sharma had remained mayor on Congress ticket and had joined BJP in last Lok Sabha elections. Similarly, Bahga was also nominated councillor when Congress was in power and joined BJP last year and was made vice president. “The party is giving key posts to outsiders, who recently joined BJP, but there is no place for workers, who worked hard for party in the last many years,” the worker added.||http://timesofindia.indiatimes.com//city/chandigarh/ut-appoints-3-non-official-members-of-chb/articleshow/86078102.cms||Rajinder Nagarkoti
---||Mumbai||Zoo income up as entry rates rose: Opposition seeks white paper||MUMBAI: A day after municipal commissioner Iqbal Chahal defended the Rs 15 crore penguin maintenance tenders, saying that Byculla zoo’s revenue had risen by Rs 12.26 crore after penguins were brought in, elected representatives from the opposition sought a white paper on income and expenditure of the zoo since 2017. MLAs and corporators pointed out that in 2017 BMC had hiked entry ticket price for the zoo and the increase in revenue was not just because of penguins. In a letter to Chahal, Samajwadi Party corporator Rais Shaikh, who is also an MLA, said that the entry ticket prices were hiked from Rs 5 for adults and Rs 2 for children to Rs 50 for adults and Rs 100 for a family of two adults and two children. “Regular visitors could earlier get a monthly pass at Rs 30, which now costs Rs 150 a month. BMC has also spent around Rs 300 crore on other enclosures of the zoo. BMC must table a white paper on income and expenditure of the zoo before clearing these inflated Rs 15 crore penguin maintenance tenders,” Shaikh said. “If BMC is talking of profit and loss, then it has suffered losses due to penguins. BMC must specify the exact number of visitors to the zoo since 2017 and how many of them visited the penguin enclosure. How much money was spent on the zoo in the last five years besides the penguin enclosure. BMC must give these details instead of making bogus claims,” Shaikh said. Chahal had on Wednesday claimed that after arrival of the penguins, BMC’s revenue from the zoo rose drastically. BMC said income from the zoo rose by Rs 12.26 crore after the penguins were brought in 2017. BJP MLA Ameet Satam tweeted: “In 2017, entry ticket price was hiked from Rs 5 for adults and Rs 2 for children to Rs 50 for adults and Rs 100 for a family of four. BMC must present a white paper on the zoo’s income and expenses in 2017. Over Rs 300 crore spent on the zoo, tenders rigged to favour Highway Construction. The BMC chief must be out of his mind to justify,” .||http://timesofindia.indiatimes.com//city/mumbai/zoo-income-up-as-entry-rates-rose-oppn-seeks-white-paper-in-mumbai/articleshow/86080632.cms||Chaitanya Marpakwar
---||Chandigarh||13 Covid cases surface in Tricity, 1 dies||Chandigarh and Mohali reported 11 positive cases and 11 recoveries, while one patient succumbed to the virus in Chandigarh. No death was reported from Mohali. A 92-year-old woman from Manimajra succumbed to Covid in GMSH-16. Four positive cases were reported in Chandigarh. Two of the patients are men and two are women. Six persons recovered and one died. Health officials said that in the past one week, the active patient count has slightly declined to be recorded at 28 from 37 last week. A total of 816 deaths have been reported. Health officials said as of now, 65,142 positive cases have been reported in the city, out of which 64,298 have recovered and 28 cases are active. In Mohali, seven persons tested positive while five recovered, said deputy commissioner Girish Dayalan. The active case count rose slightly to reach 48 from 46 a day ago. Health officials said 68,658 cases have been reported in the district so far, of which 67,550 patients have recovered and 48 cases are active. Two fresh Covid cases were reported in Panchkula on Thursday. No death was reported. Chief medical officer (CMO) Dr Mukta Kumar said of the 30,699 Covid cases reported so far, 30,309 patients have been cured and discharged from the civil hospital in Sector 6. There are 13 active cases in the district. The CMO said 4,17,845 samples have been collected in the district so far and 377 deaths have been reported.||http://timesofindia.indiatimes.com//city/chandigarh/13-covid-cases-surface-in-tricity-1-dies/articleshow/86078118.cms||टाइम्स न्यूज़ नेटवर्क
---||Goa||19 foreigners take vax shot in Goa||PANAJI: Even as there was a demand that foreign nationals in the state should be vaccinated, very few have come forward to avail of the benefit since vaccination was opened for them. As of Wednesday, a total of 19 foreign nationals were vaccinated, while five received their second dose, a directorate of health services official said. Of this, 15 people were from South Goa. “We thought many would come to get vaccinated specially in North Goa as it is likely to have more presence of foreign tourists. We do not know if some have been already vaccinated on the basis of their aadhar card as separate data about them is not maintained,” the officer said. After the announcement by the central government, a week ago Goa government also declared that it will start vaccination for foreign nationals and also those who took the first dose elsewhere, will also be eligible to get vaccinated here. If they had taken a Covaxin, they should approach a private hospital for the second dose as the government vaccine sites in the state offer Covishield. He said South Goa’s numbers may be more because those who got vaccinated are probably holding Portuguese passports. Dr Roshan Nazareth, a health officer at Candolim primary health center, said they haven’t seen foreign nationals walking in for vaccinations, of late. “Probably, there are no foreigners here,” he said. Since the pandemic broke out international tourists have not come to the state. Those who are seen are those who stayed back and they are spread across the coastal belts of North and South Goa. Arambol and Morjim has several Russians staying, whereas Bardez has African nationals. The coastal belt of Palolem and Agonda also have foreigners living there. No sooner, vaccination was thrown open for all sections of the society, there were queries on social media if they (foreigners) could also get vaccinated here, and what needs to be done. But now that the facility has been made available a few are coming forward, and that’s been surprising. Most foreign convicts and undertrials at Colvale Central Jail have been vaccinated. A few who refused to take the shot are consulting their respective embassies, a jail official said.||http://timesofindia.indiatimes.com//city/goa/19-foreigners-take-vax-shot-in-state/articleshow/86077699.cms||Bindiya Chari
---||Kolkata||KMDA probes Lake ‘violation’||Kolkata: KMDA on Thursday started a probe into the alleged construction of pillars in the water body by a club to expand its existing floor area at Rabindra Sarobar, a national lake and biodiversity hotspot. KMDA is the custodian of the Sarobar. Environment activists alleged that Lake Friends have erected concrete pillars in the water body to expand the floor area. Any new construction on the lake premises is in contravention of the National Green Tribunal order and a gross violation of Environment Impact Assessment 2017. The construction was spotted on Wednesday when they were trying to detect the source of water drainage. “We were shocked to find the new concrete structures encroaching into the water body. There was unmistakably a new structure. It is illegal and will harm the biodiversity of the place,” said Sumita Banerjee, a lake enthusiast. “Clubs around the lake have a tendency to encroach upon the water body. As much as 38% of the 192-acre Lake premises should be a water body. But we fear it has been reduced to less than 35% with time. We urged KMDA to undertake a proper mapping of the water body and demolish unauthorised constructions,” said Somendra Mohan Ghosh, an environment activist. “I have already asked the officers to conduct an inquiry into the complaint. As per preliminary inquiry, I was told that there was no new construction but some old constructions that are being referred to. Nonetheless, a detailed report was sought after a field inquiry,” KMDA CEO Antara Acharya told TOI on Thursday. The Lake Friends authority could not be reached as their phones went unanswered. A KMDA official said the club did not seek permission for any new construction but for some urgent repairs. If they erected any construction, it would be in violation of the NGT order.||http://timesofindia.indiatimes.com//city/kolkata/kmda-probes-lake-violation/articleshow/86078109.cms||Krishnendu Bandyopadhyay
---||Hyderabad||Kokapet bid: Revanth files plaint with CBI||Hyderabad: Telangana Congress president A Revanth Reddy has filed a complaint with CBI alleging Rs 1,000 crore loss to the exchequer in Kokapet land auction. Reddy alleged that certain officials joined hands with public sector units and a few builders and caused substantial loss to the Telangana government. The government-owned e-procurement platform was being used by all departments, PSUs, urban local bodies as it has become mandatory for all government departments to conduct e-auction programmes from 2018 onwards. The government had engaged MSTC to conduct e-auction for land parcels. HMDA, which oversees sale of land parcels, had engaged MSTC. HMDA has called for the auction of 50 acres of land at Neopolis in Rangareddy district. Revanth Reddy, in his complaint to CBI, alleged, “Government allowed the intermediary (MSTC) to collect 2% for utilizing the e-auction platform. Considering the fact that the auction fetched Telangana around Rs 2,500 crore, the intermediaries had received Rs 50 crore. If the Telangana government platform was used, the commission would have been saved.” “As a quid pro quo for the commission, certain public servants of MSTC helped the public servants of the Telangana government in tweaking the e-auction norms and helped a select group of realty companies, which are close to the CM, pocket the prime properties at a throwaway price,” he said in the complaint. “Two real estate groups of Hyderabad, Rajapushpa Group and My Home Group, both close to the CM, got the land at a discounted price. Though located in the same area, the price variation between identical plots was more than 45-50%. For example, plot No 2/P was purchased by Rajapushpa Group for Rs 60 crore per acre, whereas the next plot (No. 13/A) was purchased by My Home Group (through a subsidiary Hyma) for Rs 31.2 crore. The entire 50 acres was purchased Rajapushpa Group and My Home Group. Rajapushpa Group purchased about two acres to give an impression that the cost of the land had gone up to Rs 60 crore per acre,” he alleged. “Rajapushpa and My Home had purchased more than 40 acres of land for less than Rs 35 crore per acre,” he revealed.||http://timesofindia.indiatimes.com//city/hyderabad/kokapet-bid-revanth-files-plaint-with-cbi/articleshow/86080568.cms||U Sudhakar Reddy
---||Hyderabad||Bidders worried over govt land in legal wrangles||Hyderabad: Prospective bidders on Thursday made enquiries if the government land at Khanamet and Poppalguda, which will be auctioned in September last week, is caught in court cases. The government fixed Rs 40 crore per acre as upset reserve price for Khanamet land and Rs 35 crore per acre for Poppalguda land. The bidders expressed their worries at a pre-bid meeting organised here even as the Telangana State Industrial Infrastructure Corporation (TSIIC) is getting ready to auction land parcels in Khanamet and Poppalguda. The bidders were particularly apprehensive in the wake of a court case on the recent land auctions at Kokapet. Some bidders sought instalment facility for payment. However, TSIIC officials said there was already a provision to make payment in instalments at various stages. The TSIIC issued a notification to sell 117 acres of government land in Khanamet and Poppalguda villages on September 27 and September 28. Of the 35 plots, nine plots are in Khanamet and 25 in Poppalguda. Official sources said about 60 people participated in pre-bid meeting. Many participants asked for infrastructure facilities and development in the proposed layout.||http://timesofindia.indiatimes.com//city/hyderabad/bidders-worried-over-govt-land-in-legal-wrangles/articleshow/86080602.cms||टाइम्स न्यूज़ नेटवर्क
---||Kolkata||Govt raises dependents’ income limit for pension||Kolkata: The state finance department has decided to increase the income ceiling limit of dependants of government employees to be allowed to claim family pension. While earlier, in the absence of a spouse, a deceased government employee’s parents or unwed/divorced/widowed daughters above 25 years, could claim family pension even though they themselves earned Rs 3,500 a month, now they can claim the pension even if they earn up to Rs 9,000. The finance department took the decision following the Sixth Pay Commission recommendations, as they had suggested to raise the ceiling limit of income of the dependants. A finance official said on humanitarian grounds, the income ceiling limit was done, so that aged parents could avail of family pension if their sons/daughters died unmarried or had no spouse. If the widow or the pensioner died, their unmarried/divorced/widowed daughter is entitled to get the pension. Even if she earned up to Rs 9,000, she could claim the pension, the official said.||http://timesofindia.indiatimes.com//city/kolkata/govt-raises-dependents-income-limit-for-pension/articleshow/86080621.cms||---
---||Mumbai||Maharashtra: Sharad Pawar hands over CM’s relief fund cheque||MUMBAI: NCP president Sharad Pawar on Thursday met chief minister Uddhav Thackeray at the latter’s official residence, Varsha, here. At the hour-long meeting, Pawar handed over a cheque of Rs 2.36 lakh for Chief Minister’s Relief Fund on behalf of Rayat Shikshan Sanstha, an educational institute. The meeting sparked off speculation about issues the two leaders, who are part of the ruling Maha Vikas Aghadi (MVA), discussed. They could have discussed the issue of appointment of 12 members to the legislative council from the governor’s quota, an NCP source said. Chief secretary Sitaram Kunte was present at the meeting.||http://timesofindia.indiatimes.com//city/mumbai/mumbai-pawar-hands-over-cms-relief-fund-cheque/articleshow/86082760.cms||---
---||Delhi||25k complaints on Green Delhi app in a year||New Delhi: The Green Delhi app, which was launched in October last year for addressing pollution-related complaints, has received over 25,500 complaints so far and 93% of them have been resolved. Out of the total complaints received till September 10, around 42% were related to illegal dumping of garbage on roadsides or vacant land. According to the official data, the second highest complaints (17%) were about the presence of potholes on roads. While 13% complaints were on illegal dumping of C&D waste on roadsides, public land or floodplain of the Yamuna. The lowest complaints till data have been on vehicular pollution as just 38 cases were lodged on the app. Of the total 25,585 complaints registered on the app till September 10 this year, around 19,000 were lodged till mid of February. The maximum number of complaints was registered in the winter season when pollution is at its peak in the capital. However, around 20 complaints were received each day in the past six months. “Between March and September 10 this year, the maximum complaints were related to dumping of garbage and potholes on roads. However, as the air quality may deteriorate from October, the number of complaints is expected to go up,” said an official. Delhi government had launched the app to identify the areas contributing to pollution. Over 25 departments, which are attached to the app, were directed to resolve the complaints in 48 hours. For resolving the complaints lodged on the app, the environment department takes help of green marshals. Seventy green marshals have been assisting the environment department by conducting ground verification of complaints on pollution-related activities. Green marshals were initially appointed in October last year for six months but due to their good work, their service was extended for a year. An official of Delhi environment department said, “After a complaint is registered on the Green Delhi app, green marshals in the respective area visit the spot to verify the complaint. They fill the sheet with details of the complaint and it is passed to the department concerned. After the department concerned resolves the complaint, green marshals again visit the site to verify proper disposal of the complaint. If they are not satisfied, they reopen the case.”||http://timesofindia.indiatimes.com//city/delhi/25k-complaints-on-green-delhi-app-in-a-year/articleshow/86101501.cms||Priyangi Agarwal
---||India||‘Cover 100% with first shot before fests’||NEW DELHI: The Centre on Thursday urged states and the public to help further increase the pace of Covid vaccination to ensure 100% coverage of the first dose before the upcoming festival season, urging the unvaccinated to take their shots. Even as 58% of the adult population has now received at least one dose of Covid vaccines, the Centre advised people to come forward to initiate vaccination as even one dose of vaccines has proven almost 97% effective against mortality. While saying that vaccines were now more freely available, the Centre said there is no precedent anywhere in the world of schools’ reopening being delayed till vaccines are administered to children. “No scientific evidence, no epidemiology suggests that it should be a criteria. However, teachers and staff need to be vaccinated. Besides, parents should be covered. We have exerted towards that and there is a very high coverage,” Niti Aayog Member (Health) Dr V K Paul said. “The data show effectiveness of available vaccine against serious disease, particularly against deaths from Covid-19” Dr Paul said.||http://timesofindia.indiatimes.com//india/cover-100-with-first-shot-before-fests/articleshow/86084470.cms||Sushmi Dey
---||Hubballi||Engineering students die in accident||Belagavi: In a tragic incident, two engineering students died when they rammed into a parked truck on a stretch of the national highway near PB Road on Wednesday night. The two students – 21-year-old Rachit Dumavata and Srinath Pawar, 20 – were returning home when they met with the accident. The duo had reportedly visited a restaurant in the evening on Wednesday to have dinner, and were en route home. Rachit, a resident of Chavatgalli, was riding pillion, while Srinath, who lived in Sadashivanagar in Belagavi, was riding the bike. Police said that the bike they were riding in rammed into the truck parked by the side of the road. “The driver and cleaner of the lorry were fixing a punctured tyre. It is possible that Srinath may have been riding the bike very fast, and not seen the lorry. Going by the evidence at the scene, it appears as though the rider lost control of the bike, and hit the lorry and the driver and cleaner. While the students died on the spot, the lorry driver and cleaner sustained minor injuries,” police said. A case has been registered in connection with the accident at the Belagavi North police station.||http://timesofindia.indiatimes.com//city/hubballi/engineering-students-die-in-accident/articleshow/86076835.cms||---
---||Delhi||Delhi: Wait longer for 360° view from Signature Bridge as elevator permit stuck||NEW DELHI: The wait for Delhiites to enjoy a 360-degree view of the capital from the observation deck on the top of the pylon of the iconic Signature Bridge is going to get longer. While the Signature Bridge was opened to traffic nearly three years ago in November 2018, a steel and glass observation deck on the top of the pylon of the bridge was completed much later. With a height of 154 metres, more than twice the height of Qutub Minar, the observation deck offers a panoramic view of the national capital. The pylon has a set of four elevators to take visitors to the top, out of which two are uniquely designed inclined elevators. A permission is required from Delhi labour department’s inspector of lifts to ferry tourists in the lifts, but since these are first-of-their-kind oblique elevators in the country, Delhi Tourism and Transportation Development Corporation (DTTDC), a Delhi government agency that executed the project, has been unable to get the permission. While the permission was denied earlier, DTTDC once again wrote to the labour department in July to allow it to use the oblique lifts to ferry visitors as similar lifts are operational in other countries. However, the corporation has once again failed to receive the nod from the department, sources said. As the pylon is shaped like a boomerang and is bent midway, the elevators on the two oblique legs of the pylon are also oblique at 60 degrees but with a levelled flooring. The pylon has been divided into four levels and DTTDC carried out some modifications a few months ago to make a changeover from the oblique elevator to the vertical one a more seamless one. The entry to the observation deck, whenever it is opened to visitors, would be ticketed.  The glass of the deck is laminated and toughened and can withstand wind speeds of up to 86 miles per hour.  However, with DTTDC not being able to receive the safety nod, it is not clear what the next move would be. Apart from being an important link between northeast Delhi and the rest of the city since it opened in 2018, the Signature Bridge has also become a favourite place for Delhiites to click selfies. That is why DTTDC is developing the area as a tourist spot as well. Last year in July, DTTDC had used state-of-the-art technology to provide aesthetic theme-based lighting at the bridge, with separate focus light on the cables. A dedicated ramp that will ferry tourists from the approach part to the main deck of the bridge is almost ready and there would also be a small parking facility, café and toilet near the approach area.||http://timesofindia.indiatimes.com//city/delhi/wait-longer-for-360-view-as-elevator-permit-stuck/articleshow/86080659.cms||Sidharatha Roy
---||Vijayawada||HC: No FIR under CrPC secs 107, 145||Vijayawada: The high court on Thursday directed the DGP to instruct station house officers across the state not to register FIRs under sections 107 and 145 of CrPC. Registering cases under the said sections is illegal and unsustainable, court said. One Bandi Parasuramudu moved the high court challenging the FIR registered against him at Atmakuru police station in Anantapur district under section 107 of CrPC. After hearing both sides, Justice Manavendranath Roy expressed surprise and wondered how the SHO could register an FIR under the said section by ignoring the fundamental principles of law. Justice Roy observed that the section in question clearly prescribes that an executive magistrate on the information of a cognizable offence or breach of peace and tranquillity by a person, should issue a show cause notice as to why he should not be ordered to execute a bond for keeping the peace, for such a period not exceeding one year or as the magistrate may think fit in the facts and circumstances of the case. Even after issuing the show cause, certain procedure has to be followed to conduct inquiry and pass orders in writing under section 111 of CrPC. Thereafter, inquiry under section 116 has to be conducted and a final order required to be passed by the magistrate concerned. Justice Roy further said that in the scheme of CrPC, the proceedings under section 107 are not penal in nature and are only preventive. It is not contemplated under law that an FIR needs to be registered to initiate proceedings under the sections, as it is not an offence for which FIR is to be registered, he said. He further noted that it is high time that necessary directions were given to those who are at the helm of affairs as the high court is coming across several cases where police in Andhra Pradesh are registering FIRs under sections 107 and 145 of CrPC. He directed the DGP to take necessary action in this regard.||http://timesofindia.indiatimes.com//city/vijayawada/hc-no-fir-under-crpc-secs-107-145/articleshow/86078171.cms||Srikanth Aluri
---||Chandigarh||23 dengue cases in 9 days in Mohali||MOHALI: The health department swung into action after 23 dengue cases surfaced in nine days here. Civil surgeon Dr Adarshpal Kaur said a total of 40 cases had surfaced this year. The district health department has advised residents to protect themselves from dengue fever and water-borne diseases these days. Civil surgeon Dr Adarshpal Kaur, district epidemiologists Dr Vikrant Nagra and Dr Harmandeep Kaur issued a joint statement urging residents to take precautions. They said that the Aedes aegypti mosquito, which causes dengue, breeds till the end of November. They also warned the people against the water-related diseases like diarrhea, cholera, typhoid, hepatitis A and E during the rainy season and warned them against drinking contaminated water. The civil surgeon said, ‘Though diagnosis of dengue causes fear and panic among patients, it is important to understand that many are simple fevers that can be treated at home. Normally, platelet count goes down with most of the viral fevers and all viral fevers should not be taken as dengue fevers. In case of dengue fever, good intake of fluids, healthy home food and complete bed rest is required.” Health officials added that dengue patients have high fever for five to six days. Platelet count may drop after the fever ceases. They asked private hospitals to report any suspected or confirmed dengue case to the health department and send suspected samples immediately so that confirmatory test could be done and remedial steps taken on time. Dengue testing and treatment is available free of cost in government hospitals across the district.||http://timesofindia.indiatimes.com//city/chandigarh/23-dengue-cases-reported-in-9-days-health-dept-cautions-residents/articleshow/86078163.cms||Barinderjit Saluja
---||Rajkot||Rajkot: Community health centre doctor accused of raping teacher||PALANPUR: A doctor working at a community health centre (CHC) in Banaskantha district was booked for allegedly raping a teacher by blackmailing her with her obscene videos. Dr Anil Dabhi, who works at Vadgam CHC, eight km from Palanpur, had allegedly recorded videos of the 34-year-old woman and had been raping her for the last three years by forcing her into physical relationship, police said. “The doctor had approached her again on Wednesay demanding and made sexual demands. He even threatened to share the videos with her husband if she did not agree. However, fed up with his constant blackmailing, she approached police and lodged a complaint against him,” said police sub-inspector RS Lashkari. He was booked under relevant sections of IPC and Information Technology Act. However, he is yet to be arrested. (The victim's identity has not been revealed to protect her privacy as per Supreme Court directives on cases related to sexual assault)||http://timesofindia.indiatimes.com//city/rajkot/chc-doctor-accused-of-raping-teacher/articleshow/86076841.cms||---
---||Vadodara||Amid confusion, DJs accompany Ganesh processions||Vadodara: The city roads were jam-packed with processions on Thursday evening as Ganesh idols were taken to thousands of pandals in the city. Though many processions were accompanied by DJ music, not all organizers had proper police permission. “We had been asking for permission from the cops after the state government announced that DJ will be allowed in the processions. But the city police department hadn’t given clarity till Thursday afternoon. I went to meet senior police officials along with many Ganesh pandal organizers,” said Swejal Vyas who has formed an organization Satyamev Jayate with the pandal organizers. “The cops said that they have sent out emails to all the police stations but most pandal organizers were clueless as they were not given permission by the cops till Thursday morning,” Vyas claimed. He added that many pandal organizers took out processions with DJ despite not having permission. “We just wanted proper clarity over the issue as the pandal organizers would be in trouble if they bring in DJ along with the procession without police permission,” he added.||http://timesofindia.indiatimes.com//city/vadodara/amid-confusion-djs-accompany-ganesh-processions/articleshow/86076443.cms||टाइम्स न्यूज़ नेटवर्क
---||Chandigarh||A showroom, 4 shops razed as owners protest in Pkl||Panchkula: The district town planner (DTP) and a police team razed five illegal structures in the backdrop of protests. DTP Priyam Bhardwaj said that a showroom and four shops constructed illegally at Bakshiwala village were demolished during the drive. He added that the shops were constructed without getting CLU (Change in land use) from the DTP office. The village falls in the protected area and change of land use certification is a must to make changes in the area, said DTP Bhardwaj. The landowners were booked under the Urban Area Act 1975 and under the Periphery Controlled Area Act 1952 as well as Controlled Area Act 1963. They tried to protest against the drive but police force and duty magistrate managed to control the situation. DTP officials said that land owners are often misled by property dealers, who engage in illegal commercial construction. Other land owners in the area were also warned of strict action, including three-year rigorous imprisonment, if found violating norms. DTP Bhardwaj requested residents of Panchkula not to construct any illegal structures on their land other than those earmarked for commercial work. The department has to give an action taken report on illegal constructions in the district to sports minister Sandeep Singh, who will visit Panchkula on Friday for a public grievance redressal meeting.||http://timesofindia.indiatimes.com//city/chandigarh/a-showroom-4-shops-razed-as-owners-protest-in-pkl/articleshow/86078235.cms||---
---||Mumbai||31,398 potholes filled in five months: BMC||MUMBAI: With the opposition slamming the BMC over numerous potholes on city roads ahead of the Ganpati festivities, the civic body said that in the past five months (up to September 8), it filled 31,398 potholes. Vinod Mishra, BJP’s group leader in the BMC, said that Rs 350 crore had been spent on filling potholes but all crucial roads in the city be it SV Road or Link Road have potholes. The BMC maintains 2,000-km of roads in the city while the remaining stretches of roads are looked after by the Mumbai Metropolitan Region Development Authority.||http://timesofindia.indiatimes.com//city/mumbai/bmc-31398-potholes-filled-in-five-months-in-mumbai/articleshow/86080702.cms||---
---||Delhi||Delhi: To woo voters, municipal corporations plan property tax exemption||NEW DELHI: Aiming to garner support for the party in the civic elections scheduled early next year, the BJP-led municipal corporations are working on a proposal to exempt houses measuring up to 50 square metres from paying property tax. While the scheme is aimed at providing relief to the economically weaker sections as plots of such sizes mostly exist in regularised unauthorised colonies and villages, the percentage of voters is also high there. However, fearing serious loss of revenue, officials of the cash-strapped civic bodies are still in a dilemma. They argue that the policy would reduce property tax collection by at least one-third. Delhi BJP president Adesh Gupta said the scheme would be implemented in all three civic bodies, so they had been asked to bring a common proposal. North Delhi Municipal Corporation leader of House Chhail Bihari Goswami said, “This segment constitutes 2.5-3 lakh properties and the decision is likely to reduce property tax collection by Rs 150 crore yearly. Currently, north corporation collects around Rs 565 crore. We will cover the losses by bringing more properties under the tax net.” “We aim to give relief to people living in Janta flats, small apartments and houses. The proposal was passed in the House meeting and will be implemented from this financial year,” added Goswami. However, north corporation officials are waiting for the other two civic bodies to come out with a similar proposal before giving administrative approval. South Delhi Municipal Corporation (SDMC) standing committee chairman Col (Retd) BK Oberoi said the issue was discussed in meetings where all mayors were present. “We suggested increasing the limit from 50 sq metres to 100 sq yards. The final decision is yet to be taken,” he added. SDMC earns around Rs 900 crore from properties in categories A, B and C. “Though the decision will reduce our collection by Rs 70 crore, people will benefit with 20-25% reduction in taxes,” said an official. The benefit would be given to owners who reside with only their family in such properties and the house has not been rented out. East Delhi Municipal Corporation mayor Shyam Sunder Agarwal as well as officials stated that unlike north and south corporations, 60% of their properties fell in this category and they couldn’t afford to give such relief. EDMC collects around Rs 210 crore from property tax of which Rs 100 crore comes from this category. “We have communicated our apprehension to the party. After a lot of efforts, we managed to increase property tax collection and now we can’t afford to go back. In east Delhi, residential properties start from category D and a majority are in E, F G and H slabs where houses are of 70 sq yards,” said the mayor.||http://timesofindia.indiatimes.com//city/delhi/to-woo-voters-corpns-plan-property-tax-exemption/articleshow/86101530.cms||Vibha Sharma
