14-10-2021||News||Mind The Gap | The cost of being a modern working woman||The Big Story: The dreaded modern woman
14-10-2021||India||Assam CM backs BSF's extension of jurisdiction as Punjab, Bengal step up attack||Assam chief minister Himanta Biswa Sarma said on Thursday his government welcomed the Centre’s decision to extend the jurisdiction of the Border Security Force (BSF) in the state amid loud protests from states like Punjab and West Bengal.Sarma said the move, in coordination with the state police, would serve as a strong deterrent for defeating cross-border smuggling and illegal infiltration. According to an ANI report, the chief minister said it strengthened national security and was in the interest of the country.Assam welcomes the extension of BSF’s operational jurisdiction. In coordination with state police, this move will serve as a strong deterrent for defeating cross border smuggling & illegal infiltration. It strengths national security and national interest: Assam Chief Minister pic.twitter.com/6dnqFTSVi9Sarma’s statement came in the wake of a massive pushback from Punjab and Bengal, both under non-BJP governments, over the government's decision to amend the BSF Act and authorise the force to undertake search, seizure and arrest within a larger 50-km stretch, in place of the existing 15km, from the international border in Punjab, West Bengal and Assam.Also read | ‘Captain is with BJP’: Punjab minister alleges Amarinder behind govt's BSF moveBoth the Congress-led government in Punjab and the ruling Trinamool Congress in Bengal have said the Centre’s move was an "infringement" on the rights of the state and an attack on the federal structure of the country.Soon after the news had come to fore, Punjab chief minister Charanjit SIngh Channi had urged Union home minister Amit Shah to immediately roll back the decision. “I strongly condemn the GoI's unilateral decision to give additional powers to BSF within 50 KM belt running along the international borders, which is a direct attack on the federalism,” he wrote on Twitter.Minister Vijay Inder Singh said the BJP was trying to take away the rights of the states.”Punjabis have always stood together whether it was the freedom struggle or farmers' protest... We will fight against this too," he added.Meanwhile, the TMC said the decision was taken by the Centre without any consultation with the Bengal government."If the BSF has to conduct any search, they can always do it along with the state police. This has been the practice for years. It is an attack on the federal structure," TMC spokesperson Kunal Ghosh said.Senior TMC MP Sougata Roy said the BSF did not have a good track record on human rights in border villages.Bengal Congress president Adhir Chowdhury warned the Union Home Ministry of "consequences" over the move.||https://www.hindustantimes.com/india-news/assam-cm-backs-bsf-s-extension-of-jurisdiction-as-punjab-bengal-step-up-attack-101634206903459.html
14-10-2021||India||Elgar Parishad case: HC extends temporary bail of Varavara Rao till Oct 28||The Bombay high court on Thursday extended till October 28 the temporary bail granted to poet P Varavara Rao, 80, who was among those arrested for alleged inflammatory speeches at the Elgar Parishad conclave in Pune in December 2017. It granted Rao bail for six months on health grounds in February.Rao, who was to return to Mumbai’s Taloja jail on September 5, filed a plea for the extension of the bail saying he has developed three new ailments. He cited a lack of proper medical facilities at the jail hospital while seeking the extension.A division bench of justices Nitin Jamdar and Sarang Kotwal was unable to hear Rao’s application on Thursday due to paucity of time. It said the matter will be taken up for hearing on October 26 before extending the bail.Rao submitted he has complied with all bail conditions and was living in Mumbai with his wife. He added he has been receiving treatment and has undergone medical check-ups. Rao said his reports indicate he has developed asymptomatic Parkinson’s disease and neurological ailments. He added as he is dependent on his pension, the February 22 bail order be modified to allow him to return to his home state of Telangana.||https://www.hindustantimes.com/india-news/elgar-parishad-case-hc-extends-temporary-bail-of-varavara-rao-till-oct-28-101634207027974.html
14-10-2021||India||Rajnath Singh says women will be equal contributors in fight against terrorism, highlights role in armed forces||Defence minister Rajnath Singh said on Thursday women have always been and will always remain equal contributors within the armed forces in India. Singh said that terrorism is a common threat to the countries under the Shanghai Cooperation Organisation (SCO) that “challenges us in equal measure” and it reinforced the role of all citizens in the fight against it.“And this fight cannot be won by half the population of our region or of a country. Women have and will remain equal contributors in this fight, both within the armed forces and beyond them,” Singh during his address at the SCO international webinar on the role of women in the armed forces.Women have and will remain equal contributors in this fight, both within the armed forces and beyond them: Raksha Mantri Shri @rajnathsinghWhile mentioning women who reached the helm of Indian administration, Singh referred to former prime minister Indira Gandhi and former president Pratibha Patil and said that women reaching higher ranks within the armed forces came as no surprise. “It, therefore, comes as no surprise that a number of women have reached the rank of lieutenant general and equivalent within the Indian armed forces, leading their men and women under the most challenging conditions,” he said.The defence minister also said that the country was amongst the oldest to induct women into its armed forces and highlighted the role of women in the Indian Military Nursing Service for more than 100 years now. He also said that the army had begun commissioning women in 1992 and they are now present within most branches.Also read | After SC judgement, UPSC invites application from women candidates for NDA exam“Women are now being accepted for permanent commission and shall be commanding army units and battalions in near future,” he said. “I am happy to share with you that from next year, women shall be able to join our premier tri-service pre-commissioning training institute, the National Defence Academy,” he added.Singh also said that the role of women should be recognised and reinforced in all spheres of security and nation-building, apart from their role in the armed forces. He also pointed to the role of women in the navy, the coast guard and the UN peacekeeping missions within the services and said that India’s approach has been progressive towards their induction into these services.“We have found that the process of induction, given its broad-based and progressive path, has also simultaneously prepared the society and the armed forces for this change. This is an important aspect to ensure a smooth and successful transition,” he said.The ministry of defence said in February this year that the Indian Army has 6,807 women or 0.56 per cent of its total strength, the Indian Air Force 1,607 or 1.08 per cent and the Indian Navy 704 women officers or 6.5 per cent of the arm’s strength.||https://www.hindustantimes.com/india-news/rajnath-singh-says-women-will-be-equal-contributors-in-fight-against-terrorism-highlights-role-in-armed-forces-101634206484570.html
14-10-2021||NA||Mumbai drugs case live updates: Aryan Khan to stay in jail, no order on bail plea today||A special court under the Narcotic Drugs and Psychotropic Substances (NDPS) Act in Mumbai on Thursday reserved the order for October 20 on the bail application of Aryan Khan, Arbaaz Merchant and Munmun Dhamecha in connection with the cruise ship drugs bust case. The three were arrested on October 3 and are currently lodged at Arthur Road prison. Their bail plea was submitted in the special NDPS court after a Mumbai magistrate rejected their bail and remanded them to judicial custody. The Narcotics Control Bureau (NCB) has argued that Aryan Khan, the eldest son of Bollywood star Shah Rukh Khan, should not get bail in the case just because he was not found in possession of drugs. Stay tuned for live updates.Follow all the updates here:Bail plea hearing adjourned till October 20After hearing the arguments of both the sides in the bail application of Aryan Khan, Actor Arbaaz Merchant and model Munmun Dhamecha, the Mumbai court has adjourned the matter to 20th October, 2021, for bail order,Possibility of conspiracy, speculation in Aryan Khan's case: Desai in court“This young man was overseas for a while. In those countries some times lot of things are legitimate. I don't know what kind of chats are there. I have not seen. The possibility of conspiracy and speculation cannot hold me back in this case,” Aryan Khan's lawyer tells court, as quoted by Live Law.Aryan Khan ‘by no stretch involved in illicit drug trafficking’, Amit Desai tells court“By no stretch of imagination the boy is involved in illicit drug trafficking or international drug trafficking. This allegations are fake. Nothing to do will illicit drug trafficking. These chats needs to be seen as whole. They need to see if they (the chats) are jokes, banter. Context is important when we deal with evidential value,” Aryan Khan's lawyer in court.Investigation in regards to Aryan Khan ended on October 7: Desai tells court“The custody was given in bailable offence to facilitate investigation,” Desai continues, “Then he was remanded to judicial custody. Now the learned magistrate heard everything of the NCB, applied his mind and concluded that no investigation's is actually happening now. The crucial investigation (in regards to Aryan Khan) was completed on October 7.”Reformative approach needed: Aryan Khan's lawyer tells court“You are at the bottom of the chain, affected by the drug menace. But they want you to keep in jail. How long that too? You are a consumer affected and they say you might be in conspiracy with peddler and put you in jail. This is a far stretched argument. They should have a reformative approach,” Desai tells court, adding that in connection to Aryan Khan's involvement in the case, the NCB may have crossed a legal line.No debate that world is fighting drug menace: Aryan Khan's lawyer“I say this as an officer of this court and citizen of this country. I don't think there can be a debate that the entire world is fighting the drug menace. We got our freedom and we must protect it and save the younger generation from the drug menace,” Senior counsel Amit Desai says in his rejoinder arguments on behalf of Aryan Khan.Aryan Khan's lawyer argues in courtSenior Lawyer Amit Desai, who is representing Shah Rukh Khan‘s son Aryan Khan, is presenting his arguments in court.‘Drug abuse needs to stop somewhere': NCB to court“I don't agree they are boys, tell the court you are our future generations. The entire country depending on you. It is not what father of nation Mahatma Gandhi would have envisioned. Drug abuse needs to stop somewhere. We are taking it seriously and investigations looking at every chain,” ASG Anil Singh tells court.NCB in court as hearing resumes“Bail can be granted in case there are reasonable grounds for believing that accused is not guilty of such offence, and that he is not likely to commit any offence while on bail,” Additional Solicitor General representing NCB told the court, citing the judgement of State of Kerala vs Rajesh, as reported by Live Law.NCB argues in court that Aryan Khan is ‘a regular drug consumer’“The record and the evidence before your honour shows that he is a regular consumer of contraband for last few years,” NCB said.||https://www.hindustantimes.com/india-news/mumbai-drugs-case-live-updates-aryan-khan-a-regular-drug-consumer-says-ncb-hearing-underway-101634204950457.html
14-10-2021||India||‘Captain is with BJP’: Punjab minister alleges Amarinder behind govt's BSF move||A day after the Centre extended the jurisdiction of the Border Security Force (BSF) to a 50-kilometre belt along the international border in few states, including Punjab, Congress leader and cabinet minister Pargat Singh attacked Amarinder Singh over the Union government's move.In an apparent reference to Captain's meeting with Union home minister Amit Shah last month, Pargat Singh said that Amarinder Singh went to Delhi to delay the paddy procurement and now he has motivated the government to extend the BSF’s jurisdiction to Punjab. “I have always said the Captain is with the BJP only. Earlier he went to Delhi to make a delay in paddy procurement and now this... If you are deploying BSF in Punjab it shows your motive to impose governor rule...,” news agency ANI quoted Pargat Singh as saying.“I want to appeal to the Union home minister to not take Punjab in different directions for the 2022 and 2024 elections. We will not allow anyone to make Punjab communal,” Singh added, referring to the assembly polls scheduled to be held in the state next year and the general elections later.On Wednesday, Amarinder Singh extended his support to the move and urged people not to drag central armed forces into politics. “Our soldiers are being killed in Kashmir. We’re seeing more & more weapons & drugs being pushed by Pak-backed terrorists into Punjab. BSF’s enhanced presence & powers will only make us stronger. Let’s not drag central armed forces into politics," Singh's media adviser tweeted on his behalf.Meanwhile, Punjab chief minister Charanjit Singh Channi requested Amit Shah to immediately roll back this decision, terming it a "direct attack on federalism".In a move aimed at maintaining "zero tolerance" against terrorism and cross border crimes, the Centre has empowered the BSF to conduct searches, arrest suspects and make seizures up to an area of 50 km inside Indian territory from the International Border (IB) along the India-Pakistan and India-Bangladesh borders.As per the fresh order, the BSF, which was only empowered to take action up to fifteen kilometres in the states of Punjab, West Bengal and Assam, has now been authorised to spread its jurisdiction up to 50km without any hurdle or further permission either from central or state governments.||https://www.hindustantimes.com/india-news/captain-is-with-bjp-punjab-minister-alleges-amarinder-behind-govt-s-bsf-move-101634203006472.html
14-10-2021||India||Isolated populations of India are at higher risk of Covid-19, study finds||A study led by experts at the Council of Scientific and Industrial Research-Centre for Cellular and Molecular Biology (CSIR-CCMB), Hyderabad, and the Varanasi-based Banaras Hindu University (BHU), has concluded that some isolated populations in the country have a higher genetic risk for the coronavirus disease (Covid-19). These include, for example, tribes such as Onge and Jarawa, researchers said. Both the tribes are isolated from the population on mainland India, as these are found on the Andaman and Nicobar Islands.Speaking about the research, Professor Gyaneshwer Chaubey of the BHU, who co-led the exercise with CSIR’s Kumarasamy Thangaraj, said, “There might be some speculations on the effects on Covid-19 among isolated populations. However, for the first time, we used genomic data to study the risk of the infection on 227 isolated Indian populations. It was found that the ones which carry long homozygous segments in their genome are highly susceptible to Covid-19.”The team investigated the high-density genomic data of more than 1600 people across these 227 groups. Among these, high frequency for Covid-19 risk alleles (gene) was found among the Onge and Jarawa tribes.Besides these, the other groups found on here are the Great Andamanese and Sentinels.“The study noted that these inhabitants live in protected areas and the general public is not allowed to interact with them. However, after seeing the number of cases among the islanders, it can be said that they are at greater risk mainly from illegal intruders and health workers. The total census of this population is less than 1000 in number,” Chaubey, who teaches molecular anthropology at BHU, further said.On Thursday, two more people tested positive for coronavirus in the Union territory of Andaman and Nicobar, pushing the cumulative tally to 7637, according to a health department bulletin. This includes 7499 recoveries and nine active cases, while the toll remained unchanged at 129.(With PTI inputs)||https://www.hindustantimes.com/india-news/isolated-populations-of-india-are-at-higher-risk-of-covid-19-study-finds-101634201424692.html
14-10-2021||India||WPI inflation eases to 10.66% in September on lower food prices||India’s headline wholesale price inflation for September rose 10.66% from a year ago, a six-month low, signalling cooling prices, government data showed on Thursday. The key gauge of producer prices in September, however, remained in double-digits. In August, wholesale inflation was 11.39%. The easing of wholesale prices was led by a decline in prices of food articles, especially vegetables. Fuel and power category prices rose slightly at a slower pace to stand at 24.81% in September from a year ago, compared with a 26.09% rise in August. Prices of manufactured goods, the biggest component in the WPI basket, rose 11.41%, marginally lower than August’s 11.39%. Price rise is a key determinant of monetary policies. Moderate inflation helps the Reserve Bank to keep interest rates low to spur economic activity hit by the pandemic. The slide in prices was largely driven by declining food prices at the wholesale level, which can pressure farm incomes. Inflation, or the rate at which prices rise, of food articles, dropped by nearly 5%, Thursday’s data showed. Vegetable inflation fell by 32.5%. Within horticulture items, wholesale onion rates saw a 1.9% decline in September, after a sharp rise of 62.8% in August from a year ago. Data released on October 12 showed retail inflation eased in September. The Retail inflation rate, as measured by the widely watched consumer price index, stood at 4.35% in September 2021. In August consumer prices rose 5.3%.||https://www.hindustantimes.com/india-news/september-wholesale-inflation-cools-to-six-month-low-at-1066-101634201267656.html
14-10-2021||India||Aryan Khan regular consumer of drugs, says NCB; compares with Rhea-Showik case||Drawing a parallel between the cruise rave party case and that of the Rhea Chakraborty-Showik case, ASG Anil Singh on Thursday told the court that the fact that Shah Rukh Khan's son Aryan Khan was not found in possession of drugs does not mean he should get bail. In the case of Showik Chakraborty, the brother of Rhea Chakraborty, there was no recovery. But the court at that time said that the matter was being investigated, Anil Singh said. "The record and the evidence before your honour shows that he is a regular consumer of contraband for last few years. The contraband in possession of Arbaz Merchant who accompanied Khan was for the consumption of both of them," Anil Singh said as he continued his argument opposing the bail plea on Thursday.Aryan Khan drugs case hearing to continue today. Here's where things standThe agency in its reply to the bail plea, which was submitted in front of the special NDPS court on Wednesday, said the quantity of the recovery is immaterial as the initial probe has revealed that Aryan Khan is a regular consumer of drugs and used to procure through Arbaaz Merchant."There are provisions in the NDPS Act which have got nothing to do with quantity so that can not be the argument to say that the punishment is only for a year. Once the connection is established, then the quantity is not important. My submission is that this is not a case for grant of bail," Anil Singh said.The NCB counsel also said that the "innocent until proven guilty" does not apply in the cases of NDPS offences. "In the NDPS Act, the presumption is of culpable a mental state, and it is for the accused to prove that he was not in possession during the trial," Anil Singh said.As he argued on Wednesday, Anil Singh had said Aryan Khan and Arbaaz Merchant are friends and they know each other for years. Though no drug was found from Aryan Khan, he knew about the possession. His WhatsApp chats revealed references to ‘bulk quantity’, which can not be for individual consumption, the NCB counsel said accusing Aryan Khan of illicit drug trafficking.||https://www.hindustantimes.com/india-news/aryan-khan-regular-consumer-of-drugs-says-ncb-compares-with-rhea-showik-case-101634200726833.html
14-10-2021||India||After Garba, Pragya Thakur seen playing kabaddi in Bhopal in viral video||After performing Garba, senior Bharatiya Janata Party (BJP) leader Pragya Thakur played kabaddi in Madhya Pradesh’s Bhopal. In the 10-second-long video, which is being shared widely on social media, Pragya Thakur is seen playing a round of kabaddi with local players at a Kali temple in Bhopal. Pragya Thakur was reportedly asked by the players, who were already there, to join them.The video of Pragya Thakur, who is often seen in a wheelchair in public, is from Wednesday. The video has been retweeted by various Congress leaders, who took a jibe at Pragya Thakur, asking about her next appearance with the National Investigation Agency (NIA).This comes just days after another video was posted on Twitter showing Pragya Thakur performing Garba. A controversial figure, she is often targeted over videos showing her dancing at weddings and playing basketball.A member of Parliament from Bhopal, she has been charged for terrorist activities and she is currently out on bail. She has skipped hearings in the Malegaon blast case citing serious injuries because of alleged custodial torture.Pragya Thakur is among the seven accused in the 2008 Malegaon blast case in which six people were killed and 100 others were injured. Pragya Thakur was arrested after it was found that a motorcycle used in the blast was registered in her name. She was charged under the Unlawful Activities (Prevention) Act and murder and fanning enmity between communities under the Indian Penal Code (IPC). She was granted bail in 2017 after the special NIA court dropped charges of being a member of a terrorist organisation as well as those under the Maharashtra Control of Organised Crime Act (MCOCA). She is being tried under UAPA act.||https://www.hindustantimes.com/india-news/after-garba-pragya-thakur-seen-playing-kabaddi-in-bhopal-in-viral-video-101634200376285.html
14-10-2021||India||Nawab Malik slams NCB, alleges ‘malafide intentions’ behind ‘selective leaks’ to frame people||Against the backdrop of various raids conducted by the NCB, including on some high-profile people, Maharashtra minister, and NCP spokesperson Nawab Malik on Thursday alleged that the anti-drugs agency has “malafide intentions” and is involved in "selective leaks" to frame people. Addressing a press conference, Malik also said that his son-in-law Sameer Khan, who was recently granted bail in a drugs case after nine months, will move the high court to seek quashing of charges levelled against him by the Narcotics Control Bureau (NCB).Khan was arrested by the NCB in January this year in an alleged drug case. He got bail last month. Apart from the recent drugs bust on board a cruise liner off the Mumbai coast, that led to the arrest of Bollywood superstar Shah Rukh Khan's son Aryan Khan, the NCB last year investigated a drug case linked to the death of actor Sushant Singh Rajput and several other matters related to narcotics involving high-profile people.Malik last week alleged that the NCB's raid on the cruise ship off the Mumbai coast on October 2 was “fake”, and no narcotic drugs were found during it. On Wednesday, the minister alleged that the “NCB has malafide intentions and is involved in only selective leaks to frame people.”He also said that his security was beefed up after he started getting “threats” when he raised doubts over the NCB's investigations.Referring to the bail order issued by an NDPS court in connection with the case involving his son-in-law Sameer Khan, Malik said there was “no prima facie evidence of a drug syndicate.”It is surprising that an agency like the NCB cannot differentiate between drugs that fall under the Narcotic Drugs and Psychotropic Substances (NDPS) Act and tobacco-related items, the NCP leader said. “It (NCB) said ganja was seized (in the case involving Sameer Khan), but there was none. I just had to make things clear today after the bail order, since the BJP was targeting me over my son-in-law when I raised issues about the NCB's fake case of the cruise drug party,” the NCP leader said.Malik also claimed his family faced trauma and stigma due to the NCB.||https://www.hindustantimes.com/india-news/nawab-malik-slams-ncb-alleges-malafide-intentions-behind-selective-leaks-to-frame-people-101634198957725.html
14-10-2021||India||Nora Fatehi appears before Enforcement Directorate in money-laundering probe||Bollywood actress Nora Fatehi on Thursday appeared before the Enforcement Directorate (ED) in Delhi while Jacqueline Fernandez is likely to appear on Friday in connection with the agency’s money-laundering probe against Sukesh Chandrasekhar, who is accused of cheating people of ₹200 crore, people familiar with the matter said. Officials said the two are so far not being treated as suspects in the case and that they are assisting the agency in connecting some dots.The ED earlier in August recorded Fernandez’s statement as she may have been duped by Chandrasekhar. Chandrasekhar, who is lodged in Delhi’s Rohini jail, is under Delhi Police and ED’s probe for cheating, conspiracy, and extortion. ED raided Chandrasekhar’s sea-facing bungalow in Chennai on August 24 and recovered several high-end cars such as Rolls-Royce Ghost. He was arrested in April 2017 for allegedly taking money from Amma Makkal Munnetra Kazhagam leader TTV Dhinakaran to allegedly bribe Election Commission officials in connection with a dispute over the All India Anna Dravida Munnetra Kazhagam’s “two leaves” poll symbol.In a statement in August, ED said searches were conducted at the residential and business premises of Leena Maria Paul, the wife of Chandrasekhar and an actress. “Sukesh Chandrashekhar is a known conman. He has been part of the crime world since the age of 17. He has multiple FIRs against him and was lodged in Rohini Jail. Despite being lodged in jail, Sukesh Chandrashekhar did not stop conning people. He has used technology to his aid and advantage and spoofed calls to dupe people as the numbers reflecting on the seven of the called party were from Government officers and he claimed to be Government officer offering to help people for a price of course. In this case also, Sukesh Chandrasekhar extorted money to the tune of ₹200 Crores by impersonating Senior Government officials,” the ED said in the statement. “During the search, it was revealed that she (Paul) along with Sukesh Chandrashekhar lead a lavish life in a bungalow in Chennai which is no less than a resort and have various luxury cars including BMW, Range Rover, Mercedes. The house is luxurious sea facing bungalow with home theatre and a fleet of cars and servants. Leena Maria Paul loves luxury like her partner Sukesh and there are numerous shoes, shades, bags and clothes. The shoes are Ferragamo, Chanel, Dior, Louis Vuitton and bags of the same brands including Hermes. The rugs in the house are Versace with Italian Marble floors, dining table and expensive furniture.”||https://www.hindustantimes.com/india-news/nora-fatehi-appears-before-enforcement-directorate-in-money-laundering-probe-101634198266721.html
14-10-2021||India||BJP MP Varun Gandhi shares clip of former PM Vajpayee's speech supporting farmers in apparent message to govt||BJP MP Varun Gandhi on Thursday posted on Twitter a short clip of a speech of former prime minister Atal Bihari Vajpayee from 1980 in which he warns the then Indira Gandhi government against repressing farmers and extends his support to them.Gandhi tweeted, "Wise words from a big-hearted leader..."The BJP MP has been vocal in empathising with farmers agitating against the three agri laws enacted by the Modi government and sharing Vajpayee's speech is seen as his message to the central government.In the video clip, Vajpayee is heard telling a gathering that farmers cannot be scared."If the government will suppress (farmers), misuse laws and repress a peaceful agitation, then we will not shy away from joining the farmers' struggle and standing with them," he is heard saying.Gandhi has also sought stringent action against those responsible for the death of four farmers after vehicles, allegedly linked to BJP leaders, ran over them in Uttar Pradesh's Lakhimpur Kheri. He was recently dropped from the BJP national executive in what was seen as an indication of the party leadership's unhappiness with the Pilibhit MP.||https://www.hindustantimes.com/india-news/wise-words-bjp-mp-varun-gandhi-shares-clip-of-former-pm-vajpayee-s-speech-supporting-farmers-in-apparent-message-to-govt-101634197131828.html
14-10-2021||India||'People of UP can make us win 400 seats': SP chief Akhilesh Yadav on 2022 polls||Samajwadi Party (SP) chief Akhilesh Yadav has claimed that his party can win 400 seats in Uttar Pradesh Assembly elections scheduled next year. He also said that SP's aim is to remove the Bharatiya Janata Party (BJP) government."Seeing the disappointment against the BJP government, (it seems) that people of Uttar Pradesh can make our party win 400 seats in upcoming 2022 polls. Our party's aim is to remove BJP government," Yadav said while speaking to reporters on Thursday, news agency ANI reported.Attacking chief minister Yogi Adityanath, the SP chief said, "Fake Baba will be removed soon."Samajwadi Party has joined the chorus against UP government over the violence in Lakhimpur Kheri, in which eight people were killed. Four of them were farmers.Akhilesh Yadav tried to visit the families of the farmers in Tikunia village days after the violence, but was stopped by the police. He slammed the move, accusing the state government of being "anti-farmer".The farmers in Lakhimpur Kheri have claimed that a vehicle in the convoy of Union minister Ajay Mishra's son Ashish Mishra ran over the farmers who were returning after a protest, killing four of them. The minister and his son have repeatedly denied these allegations; however, Ashish Mishra was later arrested by the state police.Today, Akhilesh Yadav sharpened the attack against BJP-led government, alleging it has cheated the public."The BJP workers crushed and killed the farmers with their vehicles. This government is anti-farmer, manure-stealer, and is behind the rise of prices of pesticides," alleged Yadav."Under this government, inflation has increased, unemployment has increased, corruption has increased, crime has increased, law and order have collapsed," he further claimed.Yadav said that in the upcoming Assembly polls the SP will fight in alliance with the small parties. "We will not ally with any national party," he added.Yadav is on a 'Vijay Rath Yatra' in the state ahead of next year's Assembly polls.Uttar Pradesh Assembly elections are scheduled to take place early next year. In the 2017 polls, the BJP won a landslide victory winning 312 of the 403 seats. The party secured a 39.67 per cent vote share. Samajwadi Party bagged 47 seats, Bahujan Samaj Party (BSP) won 19 while Congress could manage to win only seven seats.||https://www.hindustantimes.com/india-news/people-of-up-can-make-us-win-400-seats-sp-chief-akhilesh-yadav-on-2022-polls-101634196522513.html
14-10-2021||India||News updates from HT: No immersion of Durga Puja idols in water bodies in Delhi and all the latest news||Here are today’s top news, analysis and opinion. Know all about the latest news and other news updates from Hindustan Times.Durga Puja in Delhi: No immersion of idols at public place or in water bodies, rules DPCCThe Delhi Pollution Control Committee (DPCC) has issued directions for the Durga Puja festivities in the national capital, which includes, among others, prohibition on the immersion of idols at any public place, or water bodies. Read more‘If you ask me, we will win’: Babar Azam ‘fully confident’ of defeating India in T20 World CupThe T20 World Cup is around the corner and the fans in India and Pakistan are eagerly waiting to watch their respective favourite teams locking horns in the mega ICC event. Read moreWhen Amitabh Bachchan commended Aishwarya Rai for delivering Aaradhya without painkillers: 'Woh lagi rahin...'Actor Amitabh Bachchan shares a special bond with his daughter-in-law Aishwarya Rai Bachchan and granddaughter Aaradhya. Recently, on his 79th birthday, Aishwarya wished Amitabh with a picture of him and Aaradhya. Read moreKia Sonet First Anniversary Edition launched in IndiaKia India on Thursday announced the launch of the Kia Sonet 1st anniversary edition. The new special edition model commemorates the first successful year of the compact SUV in India. Read moreSoha Ali Khan Column: Actress spills lockdown fitness secrets, shares favourite Dussehra recipeSoha Ali Khan Column: Growing up I saw my mother balance family life and work effortlessly. In many ways, she has inspired me to become the person I am today, and a lot of my habits and mantras are borrowed from the way she managed her household and family. Read moreHow assailant armed with bow and arrows killed 5 in Norway; Danish man arrestedA man armed with a bow and arrows killed five people in Norway on Wednesday. Two people, including an off-duty police officer, were wounded in the attacks. Watch here||https://www.hindustantimes.com/india-news/news-updates-from-ht-no-immersion-of-durga-puja-idols-in-water-bodies-in-delhi-and-all-the-latest-news-101634196064343.html
14-10-2021||India||Bollywood actors Jacqueline Fernandez, Nora Fatehi summoned by ED in money laundering case: Report||Bollywood actors Jacqueline Fernandez and Nora Fatehi were summoned by the Enforcement Directorate (ED) for questioning in connection with a money laundering case, reported the ANI news agency, citing officials familiar with the matter. While Fatehi, an actor and dancer, was asked to be present before the law enforcement agency on Thursday itself, Fernandez is expected to join the probe tomorrow (i.e. Friday), according to officials cited by ANI. This ED case is based on an FIR filed by Delhi Police’s Economic Offences Wing (EOW) against conman Sukesh Chandrashekhar who is accused of cheating and extorting the wife of a businessman of ₹200 crore.In photos shared by the news agency, Nora Fatehi could be seen reaching the ED office to cooperate with the investigation launched by the law enforcement agency. In another update, ANI informed, citing sources, that Jacqueline Fernandez is expected to present herself before the interrogators tomorrow in connection with the investigation.  Delhi: Actor & dancer Nora Fatehi reaches the Enforcement Directorate (ED) office to join the investigation in connection with the conman Sukesh Chandrashekhar case pic.twitter.com/c3t5YEMEaAActor Jacqueline Fernandez to join the investigation in connection with the Sukesh Chandrashekhar case. She will appear before Enforcement Directorate in Delhi, tomorrow: SourcesThis is not the first time that Bollywood actor Jacqueline Fernandez was summoned by ED in connection with the money laundering case. Earlier in August, she was already questioned once by the economic intelligence agency in connection with the probe against alleged conman Sukesh Chandrashekhar, who is suspected to be a part of a multi-crore extortion racket.||https://www.hindustantimes.com/india-news/bollywood-actors-jacqueline-fernandez-nora-fatehi-summoned-by-ed-in-money-laundering-case-report-101634191401434.html
14-10-2021||India||Displaced Kashmiri employees to be posted in safer areas after attacks on civilians||Employees recruited under a scheme for displaced Kashmiris will be posted in safe and secure instead of far-flung and vulnerable areas in Kashmir for the time being, officials said on Wednesday. The announcement came following a series of targeted attacks that left seven civilians dead in the region this month. Displaced Kashmir Pandit employees expressed apprehensions about their postings in far-flung areas after the attacks.Around 3,000 such employees are posted across Kashmir and a bulk of them stay in guarded transit government accommodations. A teacher from Jammu was among the civilians killed in the targeted attacks that prompted many displaced Kashmiri employees to leave the Valley.A statement quoting divisional commissioner (Kashmir) Pundurang K Pole on Wednesday said he has instructed deputy commissioners and senior police superintendents to regularly visit colonies and accommodations of displaced Kashmiris. It added they were being briefed about the security, confidence-building measures, facilities, and other arrangements being put in place for their safety and security. “The officers have been issued clear cut directions to preferably post these migrant employees in safe and secure zones instead of far-flung and vulnerable areas for the time being.”Office bearers of employees’ unions have visited some of the transit accommodations to express solidarity with the displaced Kashmiri employees.The Centre told Parliament in July that 3,841 displaced Kashmiris have moved back to Kashmir and have taken up jobs across Kashmir under the Prime Minister’s Rehabilitation Package. It added 6,000 residential units were being constructed for the Kashmir Pandit employees in the Valley and that 1,000 of them have been allotted.||https://www.hindustantimes.com/india-news/displaced-kashmiri-employees-to-be-posted-in-safer-areas-after-attacks-on-civilians-101634191905159.html
