November 6, 2020||Bengaluru||Church Street gets final touches ahead of no-vehicle weekends||It’s a makeover that took over two years, at the end of which the 750-metre stretch of Church Street was a hand-laid granite cobblestone beauty. The new look, of course, made it a hot spot for photo shoots and live musical activity and now, much to the delight of pedestriants, the stretch will be vehicle-free on weekends. Starting November 7, there will be no vehicular movement along Church Street during weekends as part of a five-month Clean Air Street initiative by Directorate of Urban Land Transport (DULT). The decision to make the stretch look and feel like a Parisian street with cafes and restaurants that have tables on the pavements has raised excitement levels among visitors to that side of town. Irfan Noor, secretary, Church Street Occupants Association, says, "This is a good move. We will have to wait for the inauguration and the feedback from the people to see how we can function. This is a good move that should help businesses along the strength, all of which have been through a prolonged dull phase owing to the pandemic. This move might just help revive that and bring people to the street." In the run-up to the initiative, the BT lens spotted workers hurriedly conducting repair works along the entire stretch to ensure everything is right before the street is thrown open to pedestrians.||http://timesofindia.indiatimes.com//city/bengaluru/church-street-gets-final-touches-ahead-of-no-vehicle-weekends/articleshow/79064298.cms||Sunayana Suresh
November 6, 2020||Ahmedabad||Ahmedabad: Now brace for June-like Covid-19 horror in December||AHMEDABAD: The horrors of a June like situation when Covid virus pockmarked every portion of the city like chicken pox, now stares at us with even more certainty, reveals the latest Aarogya Setu tracing app data. By late November or by early December, Ahmedabad city may face a second wave if citizens continue to disregard basic hygiene measures and wearing masks. Areas like Ambawadi, Bopal, Bodakdev, Sarkhej and Subhash bridge have now been emerging as the Covid hotspots since the lockdown eased in September.  To give an idea of how Covid-19 virus puts people at risk, the Aarogya Setu data is worth noticing. In the north west zone for instance on June 1, areas like Bodakdev, Thaltej, Ghatlodiya, Chandlodiya and Gota collectively reported 13,755 people who either had come in contact with Covid infected persons or had reported symptoms. Within 15 days, the number of those who had come in contact with Covid-19 positive people jumped to 1.90 lakh people, turning the whole area “dark pink”. In the following 15 days, this number dropped a little to 1.06 lakh by the first week of July. Till September 3, the number of people under Covid risk hovered between 71,000 and 73,000. Between 13 September and 29 September, these areas saw a 86% jump in the cases. Contrary to this, the central zone saw 3.61 lakh people who had come in contact with Covid-19 positive persons by June 15. However, due to the stringent measures, this number dropped to 47,000. “Between September and mid-October nearly 50% of the Covid cases were reported from the western parts of the city. These include Paldi, Vasna, Naranpura, Vadaj, Chandlodiya, Gota, Bopal, Naranpura, Ghatlodiya , Bodakdev, Sarkhej and Maktampura,” claimed a senior health official from the Ahmedabad Municipal Corporation. Aarogya Setu relays information of users only when one of the owners of the registered devices tests Covid-19 positive. The app then traces all “at risk” registered devices that had come in contact with the positive persons in the last 60 days. “The data pertaining to the registered mobile users within the reach of 150 meters around every mobile tower was sought, which helped us pin point societies and offices which were at risk. Accordingly, colour codes like blue for less severe, amber for moderately severe and pink for very severe were assigned,” explained the health official.||http://timesofindia.indiatimes.com//city/ahmedabad/now-brace-for-june-like-covid-19-horror-in-december/articleshow/79070131.cms||Paul John
November 6, 2020||Goa||Goa Forward Party: Why different onion rates at ration, horticulture stores||MARGAO: The women’s wing of the Goa Forward Party (GFP) on Thursday flayed the government for failing to provide 3kg onions at Rs 32 per kg as promised by it. Ashma Sayed, president of the women’s wing of GFP, addressing media persons, pointed out that while the civil supplies department would be selling onions at the rate of 34.50 per kg, the horticulture department was selling them at Rs 66 per kg through its various concerns. “How does one account for the difference in rates? Sayed asked. Sayed also pointed out to the mismatch between the assurance given by chief minister of providing 3 kg onions at Rs 32 per kg and what was being provided by the civil supplies department – just one kilo at Rs 34.50, she said.||http://timesofindia.indiatimes.com//city/goa/gfp-why-different-onion-rates-at-ration-horti-stores/articleshow/79070097.cms||---
November 6, 2020||Goa||Jeweller murder: Six booked under arms act in Goa||PANAJI: The crime branch of Goa Police has registered an FIR against six persons, including main accused Mustafa Shaikh after the recovery of another gun at his house. The gun was discovered during the ongoing investigation in the Margao jeweller Swapnil Walke case. The six persons booked are Shaikh, his mother, three accused who have been arrested in Bihar and Evander Rodrigues. Crime branch SP Shobhit Saksena told TOI that during the interrogation of the three accused from Bihar, it was revealed that not one but two firearms were purchased in Bihar. “The crime branch team led by PI CL Patil immediately carried out a fresh search of the house of the prime accused Mustafa and recovered one more firearm in a rusted condition from the roof of the house. A fresh case under the Arms Act has been registered with the crime branch,” Sakesna said. On October 22, the crime branch had arrested three persons from Bihar who had sold the firearm to the accused for Rs70,000. Police said that two of the accused, Rodrigues and Shaikh had travelled to Bihar to purchase the gun and they travelled by train back to Goa. Another accused Omkar Patil met the duo on their return at the Margao railway station. In September Swapnil Walke was stabbed at his shop in the heart of Margao, and died before he could be taken to hospital.||http://timesofindia.indiatimes.com//city/goa/jeweller-murder-6-booked-under-arms-act/articleshow/79070116.cms||---
November 6, 2020||Ahmedabad||More flights operate, but passenger footfalls stay low||AHMEDABAD: Even though the number of flights operating from Sardar Vallabhbhai Patel International (SVPI) airport in Ahmedabad has risen, with more domestic and international routes opening, passenger footfalls at the airport have remained low. Aircraft capacity continues to be underutilized, according to data from the Airports Authority of India (AAI). Some 2.74 lakh passengers used SVPI airport in Ahmedabad in September 2020, against 9.21 lakh in September 2019. This means passenger footfalls declined by 70%. Travel agents said footfalls have declined due to widespread apprehensions among people about travel due to the pandemic. “Airport passenger movement has improved marginally in September, but with restrictions on international travel and limited leisure travel, the number of travellers is really low,” said a city-based tour operator. Corporate travel has also been affected as several entities have imposed travel restrictions on employees. This segment contributed about 40% of all travellers. Only people who have to address emergencies are travelling, tour operators in the city said. The four major airports in the state — Ahmedabad, Surat, Vadodara and Rajkot — saw passenger footfalls decline by an average of 78% this August, against the same month last year. Things are likely to improve marginally in October and November due to the festival season, sources said. “Holiday inquiries for the festive season are good. Even though most people are reluctant to travel by air, inquiries for certain destinations are coming in and this will improve passenger footfalls,” said Manish Sharma, secretary, Travel Agents’ Federation of India (TAFI), Gujarat. The travel and tourism business has taken a major hit and many players have turned to alternative businesses.||http://timesofindia.indiatimes.com//city/ahmedabad/more-flights-operate-but-passenger-footfalls-stay-low/articleshow/79070165.cms||---
November 6, 2020||Erode||Rural police seek NGO Uyir’s help to install CCTV cams||Coimbatore: Inspector general of police K Periaiah has sought the help of NGO Uyir to install automatic number plate recognition (ANPR) cameras in rural areas. The NGO, formed by industrialists, has been spending Rs 5 crore every year to make the city accident-free. The west zone, comprising eight districts, has 52,888 CCTV cameras in public places. While there are 10,883 cameras in rural areas of Namakkal, those in Erode has 12,037 cameras, Krishnagiri 9,135 and rural Coimbatore has 7,916 cameras. The Nilgiris has only 240 cameras. “We have requested industries, educational institutions and private firms in rural areas to install more CCTV cameras in public places as a corporate social responsibility (CSR) initiative. This would help to prevent crimes,” said Periaiah. “Uyir had spent money to install CCTV cameras, maintain traffic signals and develop software to generate automatic challan for traffic violations. I approached the managing committee and trustees of Uyir to extend their support to rural police also. We plan to install ANPR cameras in the entry and exit point of Coimbatore district to monitor vehicle movement,” he said. The Coimbatore city police had cracked several cases by monitoring footage from the 25,000 CCTV cameras here, Periaiah said. “In rural areas, traders are hesitating to invest on CCTV cameras. However, we are trying to convince them. While the cameras will provide us with valuable information, they will also keep their premises safe.”||http://timesofindia.indiatimes.com//city/erode/rural-police-seek-ngo-uyirs-help-to-install-cctv-cams/articleshow/79078200.cms||A Subburaj
November 6, 2020||Dehradun||Foundation day celebrations: Minister in-charge to attend event in district||Dehradun: Chief minister Trivendra Singh Rawat on Thursday announced the names of the minister in-charge and parliamentarians to attend the foundation day functions in the state in their respective areas and districts as chief guests.In a letter to all district magistrates, secretary Amit Negi has mentioned that Satpal Maharaj will attend the function as chief guest in Haridwar on November 9, Madan Kaushik in Nainital, Harak Singh Rawat in Almora, Yashpal Arya in Dehradun, Subodh Uniyal in Pauri, Arvind Pandey in Champawat, Rekha Arya in Bageshwar and Dhan Singh Rawat in Tehri. MP Mala Rajya Laxmi Shah would be the chief guest for the function in Uttarkashi, Tirath Singh Rawat in Rudraprayag, Ajay Tamta in Pithoragarh and Ajay Bhatt in Udham Singh Nagar.Government buildings in the Kumaon and Garhwal region will remain lit from November 8 to 11 to mark the occasion. However, in the wake of Covid-19, it was decided that gatherings would remain prohibited.On November 8, the CM is scheduled to flag off a mountain bike rally. He will also inaugurate the project under which all government degree colleges will be given free Wi-Fi connectivity. The CM will also inaugurate the country’s longest motorable single-lane bridge in Dobra Chanti area in Tehri district, ending a 14-year wait for the people. The 440-metre-long bridge that will serve a population of three lakh has come up at a cost of Rs 150 crore.In the presence of a limited number of people, the CM will attend the state foundation day parade at Dehradun police lines on November 9. After the event at Dehradun police lines, the CM will attend a function at Gairsain, the summer capital of Uttarakhand.||http://timesofindia.indiatimes.com//city/dehradun/foundation-day-celebrations-minister-in-charge-to-attend-event-in-district/articleshow/79067412.cms||Kautilya Singh
November 6, 2020||Rajkot||Gang of highway robbers busted||Rajkot: Five members of a gang of highway robbers were arrested in Porbandar on Wednesday night. Police recovered three knives, bats and iron pipes from the accused. Those held include Raju Odedara (41), Nilesh Bokhiria (31), Deva Bokhiria (40), Kana Khunti (30) and Mashri Modhvadia (52) from Jubilee crossroads in Porbandar. “We had received a tip-off about the accused gathering at Jubilee crossroads to plot a highway robbery. Acting on this information, we raided the spot and nabbed the accused,” said K I Jadeja, inspector with Porbandar special operation group. Apart from the arms, the police also seized one car, one bike and five cellphones, together worth Rs 3.80 lakh, from the accused. The accused have been booked under sections 399 and 402 of Indian Penal Code dealing with dacoity.“At present, the accused have been detained. They will be formally arrested once they undergo the mandatory Covid-19 test,” added Jadeja. tnn||http://timesofindia.indiatimes.com//city/rajkot/gang-of-highway-robbers-busted/articleshow/79067421.cms||---
November 6, 2020||Jaipur||1 held for possession of crackers in Bundi||Kota: Bundi city police arrested one person on Thursday and seized 36 to 40 cartons of crackers stored in his house under Bundi city police station for sale ahead of Diwali. On a tip-off, a police team led by assistant deputy superintendent of police IPS Kundan Kanwariya carried out a raid and seized the crackers stored in a house in Poddharo ki Hatai in Bundi city, said Bundi city police. Police arrested one Pawan Jain alias Lucky, the owner of the house and booked him under sections of Explosives Act 1884, he added. tnn||http://timesofindia.indiatimes.com//city/jaipur/1-held-for-possession-of-crackers-in-bundi/articleshow/79070140.cms||---
November 6, 2020||Vijayawada||Andhra Pradesh: Varsities to address mental health issues||VIJAYAWADA: The government has decided to play an active role in helping students deal with psychological stress emerging out of financial, career or other issues. As part of reaching out to students, the department of higher education has asked all public universities in the state to set up a counselling cell on campus. The decision acknowledges the psychological impact of the Covid-19 outbreak and the subsequent lockdown on students. Stress levels and fears about career prospects have increased, in many cases leading to depression. The government will appoint highly-qualified professors of psychology to address students’ concerns. Speaking about the initiative, special chief secretary Satish Chandra said, “We have noticed that a lot of students are scared about their future and think Covid-19 can damage their chances of being successful. Some of them also carry the baggage of other forms of stress due to the lockdown and the outbreak. Mental health is as important as physical health for a student. Due to the same, as per the directions of the chief minister, we have undertaken this initiative with the aim of getting such students back to the right path. They need to be told that their careers are not in danger and that the government and the departments stands with them.”||http://timesofindia.indiatimes.com//city/vijayawada/varsities-to-address-mental-health-issues/articleshow/79068595.cms||Venu Lanka
November 6, 2020||Jaipur||Rape cases in Rajasthan down 16% in 9 months this year compared to 2019||JAIPUR: In 2020, of the total rape cases registered in the state between January and September, 43% turned out to be fake. The percentage of rape cases registered has declined by 16% in the first nine months of 2020 as compared to last year. The maximum number of cases registered were in Bharatpur with 197 FIRs, followed by Barmer which had 182 incidents. In two years from 2019 to 2020 till September, 9,000 rape cases have been registered in Rajasthan. Compared to 2018, there was an increase of 31% in the rape cases that were registered across the state. Cops also found that maximum number of cases were registered in later part of 2019 and one of the possible reason was that after the Thanagazi rape case last year, the complainants could file their FIRs in SP office as well, claimed officials. “The data shows that now the survivors have more confidence in the police because of which they are coming forward and registering their complaints. Though at times we do receive fake cases due to personal animosity, we are glad that at least in the genuine cases, the survivors get justice,” said a senior police official. Out of the 4027 rape cases registered from January to September in this year, FR was submitted in 1089 cases. This year the FIRs which came through courts was 13.3% while 86.61 cases were registered directly at the police stations. In 89% incidents, the accused were known to the survivors out of which 47% were from same area while in 19% matters the accused were known to the survivors through friends or family. In 20% cases the accused were relatives. In 86% of rape cases, no injury or struggle marks were found on the survivors during the medical examination. While in 86% survivors supported the claim that they had been raped, 30% of these retracted their statement in court when their statements under CrPC section 164 had to be recorded. Thirty eight per cent of the survivors worked in fields, while 42% were labourers and 80% came from rural backgrounds. In the survivors, 23% were uneducated and 35% had studied till primary class while 16% were graduates. In the accused, 12% were uneducated and 33% had studied till primary class while 22% had studied till secondary school. Only 6% were graduates.||http://timesofindia.indiatimes.com//city/jaipur/rape-cases-in-state-down-16-in-9-months-this-year-compared-to-2019/articleshow/79070108.cms||---
November 6, 2020||Ludhiana||3 schools cry foul over NOC cancellation||Ludhiana: Schools whose NOCs were cancelled are in a dilemma as they are receiving no new admissions for the session and the school authorities claim that they were not even issued notices for cancelling the NOCs. Secretary of Guru Nanak Public School, Sarabha Nagar, one of the schools whose NOC was cancelled, Surinder Singh Ryait said, “No prior notification was given by the education department to our school to seek explanation and the department cancelled the NOC. It’s been over two weeks since the NOC was cancelled.” DAV School, BRS Nagar, and Amrit Indo Canadian Academy were two other schools whose NOCs were cancelled. “On October 16, 2020, we were shocked to know about the cancellation of NOC of our school. On inquiring from the education department, the said news was confirmed by the education department. However, it is very strange and unfortunate that neither any notice was served upon the school or the management before cancellation of NOC of school, nor any alleged notice was ever refused by school or the management. Rather the school management complied with all guidelines and orders passed by the government, authorities concerned as well as the education department and there is no lapse on the part of the school.” The school management has given a representation to the chief minister, Punjab, and others to look into the matter. Education minister Vijay Inder Singla said, “The matter will be looked into by the staff of the education department.”||http://timesofindia.indiatimes.com//city/ludhiana/3-schools-cry-foul-over-noc-cancellation/articleshow/79068615.cms||Mehak Jain
November 6, 2020||Lucknow||UP: Nine more products added to ODOP for national, global branding||LUCKNOW: Nine more products have been added to the One-District-One-Product (ODOP) list which will now be systematically promoted and developed by the government. The scheme was launched by chief minister Yogi Adityanath in 2018 to promote district-specific handicrafts and goods. One product from each of the 75 districts was identified and have since been part of a plan to market and brand them nationally and globally. “Earlier, 66 products from 75 districts were being developed while providing training and financial assistance to workers. Later, we found some districts had more than one product with equal economic and employment potential and decided to include two or more products in ODOP list. Varanasi, for instance, has several GI products and like silk, these too could be developed,” said Navneet Sehgal, additional chief secretary (MSME). The new products include metal from Mirzapur, mentha from Rampur, food items and school dresses from Lalitpur, leather from Unnao, zari work from Farrukhabad, agarbattis from Kannauj, pink meenakari and toys from Varanasi and readymade garments from Gorakhpur. These districts already have at least one more product promoted under ODOP.Officials say products included under ODOP list will be specially marketed and packaged and artisans would be trained to improve product quality, while ensuring their uplift. “Under ODOP scheme, MSME department organises special exhibitions, funds artisans and workers to attend exhibitions in India and abroad, holds technical sessions for marketing, branding and technological improvements and provides tool kits. Lakhs of workers have benefited by this focused approach to development of a particular product,” an official said. The state’s ODOP programme has been recognised by the Centre and Union minister Piyush Goyal, who asked other states to adopt the scheme as well.||http://timesofindia.indiatimes.com//city/lucknow/nine-more-products-added-to-odop-for-natl-global-branding/articleshow/79071153.cms||Neha Lalchandani
November 6, 2020||Goa||Court rejects anticipatory bail plea of man accused of robbing Bengaluru tourists||PANAJI: A Mapusa court has rejected anticipatory bail to 21-year-old tout Lalsab Ameensab Nadaf from Khorlim, who robbed tourists from Bengaluru on the pretext of arranging accommodation for them. The tourists filed a police complaint stating that on September 15, the accused made them follow him on his scooter from Calangute to a villa at Porvorim on the pretext of arranging accommodation for him and three of his friends. Once inside the villa, they were assaulted and robbed. Along with other accused, Nadaf allegedly assaulted the tourist, threatened them with dire consequences, robbed cash of Rs 1,500 from the wallet and used one of their debit cards to withdraw Rs 8,000 through a swiping machine, stated the complaint. The court held that the alleged offence is “serious in nature” and that his custody is required for the purpose of investigation. Although other accused in the same case were released on bail, the court stated that the principle of parity couldn’t be applied to him as the allegations against him and against the other accused are different. The court was told that accused’s scooter, which was used for committing the offence, is yet to be recovered and his presence is required for the purpose of recovery. It was stated that the sum of Rs 8,000 has been recovered.||http://timesofindia.indiatimes.com//city/goa/court-rejects-anticipatory-bail-plea-of-man-accused-of-robbing-bluru-tourists/articleshow/79070159.cms||---
November 6, 2020||Dehradun||Farmers of Terai region block NH against farm laws||Rudrapur: The farmers of the Terai belt of Uttarakhand, which is also known as the rice bowl of the state, protested against the Centre’s contentious agricultural laws on Thursday. The farmers under the banner of Terai Kisan Sabha (TKS) blocked the national highway, adjacent to the city's grain market. The call for the nationwide “chakka jam” from 12 pm to 4 pm was given by the All India Kisan Sangharsh Coordination Committee (AIKSCC). The protesting farmers owing allegiance to TKS and the Kisan wing of the Congress party blocked NH-74 near the grain market. Terming the laws as "black laws," the agitated farmers slammed the central government and expressed fear that these legislations would “destroy the farming community and would only benefit big corporate houses.” TKS president Tejinder Singh Virk told TOI, "The new laws will dismantle the minimum support price (MSP) system and the farmers will be manipulated by the corporate houses. The farmers will become labourers in their own lands as the laws aim to privatise the agricultural sector." Kisan Congress state secretary Ganesh Upadhyay added, "These laws are going to badly affect the prices of crops across the country which will eventually lead to financial chaos.” The protesting farmers later conducted a march in Rudrapur’s main market shouting slogans against the Centre. The three farm laws — the Farmers' Produce Trade and Commerce (Promotion and Facilitation) Act, the Farmers (Empowerment and Protection) Agreement of Price Assurance and Farm Services Act, and the Essential Commodities (Amendment) Act, 2020 — were enacted recently.||http://timesofindia.indiatimes.com//city/dehradun/farmers-of-terai-region-block-nh-against-farm-laws/articleshow/79067395.cms||Aakash Ahuja
November 6, 2020||Jaipur||Most Jaipur play schools, day cares forced to shut shop||JAIPUR: Six months back, play schools and day cares in the city were a flourishing business with many teachers and support staff. With the outbreak of the pandemic, more than 30 pre-schools and day care centres have been forced to shut. Bachpan Play School had three branches in Jaipur out of which two have been shut as it has become difficult for the owners to pay the rent without any source of income. Simpal Vyas, director of Bachpan Play School said, “We had more than 200 students but with the lockdown, our income has become nil. Paying around Rs 2 lakh of rent for three properties wasn’t feasible. We are planning to start some other business till the preschools are open again.” Most of these schools have started taking online classes but it is a challenge to make children up to six years of age to sit in front of a laptop. Rajesh Mehta, director of Little Kingdom School said, “Only a few students had enrolled for online classes. It is difficult to manage small kids with online classes. We have more than 350 students but only 20% parents have paid fees. We are in a crisis as we are paying most of the expenses from our pocket.” According to pre-school authorities, parents have made it clear to them that they will send their children to school only after a vaccine is available in the market. “Parents are apprehensive about sending students in class IX to XII to school for consultation. It is definite that this year, schools will not be opened and pre-schools will be the last ones to be opened. More than 30 pre-schools have closed down in the city and people are opting for alternative career options,” said a play school and day care owner. Vivek Swami, owner of Smiling Star Day Care said that they had three branches, all of which they had to shut. “We are hopeful that things will be better. The times are tough as most people are still working from home and day cares are not needed. People who have started going to office are scared to leave their children in a day care due to the rising number of cases,” said Swami.||http://timesofindia.indiatimes.com//city/jaipur/most-city-play-schools-day-cares-forced-to-shut-shop/articleshow/79070161.cms||Parul Kulshrestha
November 6, 2020||Ahmedabad||Gujarat: 6,000 schools to get World Bank aid||GANDHINAGAR: World Bank has approved around Rs 7,500 crore $500 million to improve and modernize infrastructure and teaching of government-run schools in the state. The funding will be in the form of a soft loan and will be used in turning around about 6,000 of the 32,000 government-run schools of the state under the Schools of Excellence (SoE) project. Two other financial institutions — Asian Development Bank (ADB) and Asian Infrastructure Investment Bank (AIIB) — are also expected to fund the programme to upgrade infrastructure in government schools, capacity building of teachers and strengthening school governance. Sources in the state education department said that the mission envisages to improve learning outcomes and provide new age learning experience to students in 20,000 government schools —15,000 primary, 5,000 secondary and senior secondary — in the state covering about 5.3 million students. “The fund will be invested on improving physical and digital infrastructure, capacity building of teachers, school leaders and system officials and strengthening school governance in these schools in next six years,” said sources. The programme is expected to get funding of $500 million from the World Bank, $100 million from ADB, $250 million from AIIB and a contribution by the state and convergence of other local funds towards the programme. The programme is an endeavour to provide world class education across all districts, blocks and clusters of the state, said a top government official.||http://timesofindia.indiatimes.com//city/ahmedabad/6k-schools-to-get-world-bank-aid/articleshow/79070157.cms||Kapil Dave
November 6, 2020||Coimbatore||Rural police seek NGO Uyir’s help to install CCTV cams||Coimbatore: Inspector general of police K Periaiah has sought the help of NGO Uyir to install automatic number plate recognition (ANPR) cameras in rural areas. The NGO, formed by industrialists, has been spending Rs 5 crore every year to make the city accident-free. The west zone, comprising eight districts, has 52,888 CCTV cameras in public places. While there are 10,883 cameras in rural areas of Namakkal, those in Erode has 12,037 cameras, Krishnagiri 9,135 and rural Coimbatore has 7,916 cameras. The Nilgiris has only 240 cameras. “We have requested industries, educational institutions and private firms in rural areas to install more CCTV cameras in public places as a corporate social responsibility (CSR) initiative. This would help to prevent crimes,” said Periaiah. “Uyir had spent money to install CCTV cameras, maintain traffic signals and develop software to generate automatic challan for traffic violations. I approached the managing committee and trustees of Uyir to extend their support to rural police also. We plan to install ANPR cameras in the entry and exit point of Coimbatore district to monitor vehicle movement,” he said. The Coimbatore city police had cracked several cases by monitoring footage from the 25,000 CCTV cameras here, Periaiah said. “In rural areas, traders are hesitating to invest on CCTV cameras. However, we are trying to convince them. While the cameras will provide us with valuable information, they will also keep their premises safe.”||http://timesofindia.indiatimes.com//city/coimbatore/rural-police-seek-ngo-uyirs-help-to-install-cctv-cams/articleshow/79070170.cms||A Subburaj
November 6, 2020||Goa||South Goa MP tells 10 ex-Congress legistators to back protests||MARGAO: South Goa MP Francisco Sardinha on Thursday congratulated the anti-coal protestors for the successful midnight agitation at Chandor, even as he warned the government against ignoring the demands of the people of Goa. “People have woken up and shown the government that they don’t want double tracking. It is the duty of the government to listen to the people and change its decisions accordingly,” Sardinha said while addressing reporters at the Congress South Goa district office at Margao. Sardinha further demanded to know from the 10 MLAs who had switched over from the Congress to the BJP for reasons of developing their constituencies, if they were in approval of the BJP-led government in the state “working against Goa’s interests.” “They embraced BJP for selfish reasons. Now don’t sell off Goa. If people don’t want a particular project to come up in Goa, it’s the duty of the government to listen to them. The 10 MLAs should now tell the chief minister to change his decisions, and if need be, tell him that he will have to be ousted (if he doesn’t listen),” Sardinha said.  He particularly referred to minister for water resources Filipe Neri Rodrigues, Cuncolim MLA Clafacio Dias and Nuvem MLA Wilfred D’Sa, who were among the 10 breakaway MLAs.||http://timesofindia.indiatimes.com//city/goa/south-goa-mp-tells-10-ex-cong-legistators-to-back-protests/articleshow/79070194.cms||---
November 6, 2020||Ahmedabad||Ahmedabad: Man poses as PhD scholar to marry woman||AHMEDABAD: A man was booked on Wednesday for allegedly concealing his first marriage and posing himself as a PhD scholar from Australia to woo a woman for marriage. In her complaint with Ghatlodia police station, Zeel Choksi (32), a resident of Jawaharkunj Society on Ashram Road, alleged that the accused, Priyank Choksi, had claimed to have got a PhD degree from an Australian university in his bio-data in order to impress her for marriage in 2011. According to police, the victim was introduced to Priyank through a family friend. Impressed with his educational qualification, Zeel decided to marry him. The couple got married on December 7, 2012. After she moved to his place in Ghatlodia, Zeel chanced upon a family album that had pictures of Priyank with another woman. “Priyank claimed that they were pictures of his engagement with another woman in the past. However, upon investigation, Zeel found that Priyank had earlier married a woman named Mamta Patel in 2008 which he had concealed from Zeel,” said an official from Ghatlodia police station. When Zeel took up the issue with Priyank, Priyank walked out on her on April 21, 2015. She then filed a court complaint against Priyank. The couple separated two years ago.||http://timesofindia.indiatimes.com//city/ahmedabad/man-poses-as-phd-scholar-to-marry-woman/articleshow/79070171.cms||---
November 6, 2020||Coimbatore||Humiliated by debt collectors, 4 of family attempt suicide; 3 die||COIMBATORE: In a suicide pact, a family of four consumed poisonous pills used for killing rhinoceros beetles that attack coconut trees at their residence at the foothills of Marudhamalai here on Thursday morning after some people, who had lent them money, humiliated them in front of their neighbours for not repaying them. While three of them died, one is undergoing treatment at the Coimbatore Medical College and Hospital (CMCH). The Vadavalli police identified the deceased as R Sivamurugan, 50, of Leprosy Colony, his wife S Vaira Rani, 40, and daughter S Yuvashree, 22. His younger daughter, S Hema, 19, however, survived the suicide attempt. An investigation officer said Sivamurugan was into supplying milk and his wife was a homemaker. “Sivamurugan was also running a chit fund and many people had invested in it. Preliminary inquiry revealed he was facing huge loses in the milk business. He had also lent money to his friends and relatives, who failed to repay him. Some of them also didn’t pay him the chit fund amount. So, he had borrowed a few lakhs from his acquaintances.” On Wednesday night, the officer said, a group of people had met Sivamurugan at his house and asked him to return the borrowed money. They also allegedly abused him and his family members verbally. Following this, he said, the family seem to have decided to end their lives by consuming poisonous pills. “Around 5am on Thursday, the four took the pills along with banana. Hema vomited immediately after that and ran out of the house and informed the neighbours.” However, the remaining three died on the spot. The neighbours alerted the Vadavalli police, who sent the bodies to CMCH. Hema was also taken to the same hospital, where she is undergoing treatment. The officer said they have recovered a suicide note from the house with the names of four people, who had failed to repay the borrowed amount to Sivamurugan. Police have registered a case and further investigations are on.||http://timesofindia.indiatimes.com//city/coimbatore/humiliated-by-debt-collectors-4-of-family-attempt-suicide-3-die/articleshow/79070210.cms||---
November 6, 2020||Jaipur||Cong protests atrocities against Dalits & women||Jaipur: The Congress party on Thursday staged a protest against increasing incidents of crime against women and Dalits in the state capitals.The stir was part of the nationwide programme organised by the party on the call of Congress central leadership. PCC president Govind Singh Dotasra led the programme at a function at Shahid Memorial in Jaipur. Attacking the central government, Dotasara said the central government is not serious on the issue of safety and security of Dalits and women. He said the Hathras incident had shaken the conscience of the nation and civilisational values. He alleged that such incidents have become the order of the day in Uttar Pradesh and Bihar, but the central and state governments try to hush up the matter. He alleged that the BJP is using police to suppress the voice of the people.The party president said with Bihar election, the countdown for the ouster of BJP will begin. He claimed that in the next Lok Sabha polls, the Congress party will come back to power with full majority.The meeting was addressed by Congress leaders Mumtaz Masih, former Rajya Sabha MP Askar Ali Tak, former AICC secretary Sanjay Bapna among others.||http://timesofindia.indiatimes.com//city/jaipur/cong-protests-atrocities-against-dalits-women/articleshow/79070163.cms||---
November 6, 2020||Vijayawada||Telugus divided on choice of next US President||VIJAYAWADA: With vote counting for the US presidential election going neck-and-neck, preferences for President among the Telugu community in America is split straight down the middle. President of the Telugu Association of North America (TANA) Jai Talluri said Telugu-Americans by and large stand with incumbent President Donald Trump, pinning their hopes on him to boost the economy of the country. The Telugu-American community is primarily scattered across the swing states of Florida, Ohio, Michigan and Pennsylvania. However, Telugus in the US without citizenship are critical of the President’s handling of the pandemic and immigration restrictions. But the immigration debate may not be relevant as both Republican and Democratic candidates, Joe Biden and Donald Trump, favour S-386 Bill, Talluri said. The legislation, Fairness for High-Skilled Immigrants Act of 2019, seeks to amend the Immigration and Nationality Act to eliminate country-wise numerical limitations on employment-based immigrants. “This Bill will ensure that immigration for Indian-Americans is more liberal. Both the candidates have supported it and assured to get it passed,” Talluri said. “So even if any one of them wins, it’s fine with many people in the community,” Talluri told TOI. However, the difference between Biden and Trump in terms of their support for the Bill comes with a catch. The incumbent President will seek a declaration stating that an employer could not find ‘highly-skilled’ persons within the United States if they wish to employ immigrants. “Even if Trump’s support for the Bill comes with a catch, the highly-skilled labour force in the US still comes from India. A significant number of jobs in the service sector has immigrants sitting on them,” Gopisetty Srinivasulu, a Telugu NRI from Detroit, Michigan told TOI.||http://timesofindia.indiatimes.com//city/vijayawada/telugus-divided-on-choice-of-next-us-prez/articleshow/79068627.cms||Ujwal Bommakanti
